model,variant,horizon,period,eligible_universe,n_rebalances,total_return,annualized_return,annualized_vol,sharpe,sortino,max_drawdown,calmar,hit_rate,avg_turnover,total_cost,btc_total_return,excess_return,beta,beta_attributed_return,dispersion_alpha,alpha,information_ratio,correlation,up_capture,down_capture,drawdown_vs_btc,fold,regime,n_regime_dates,is_sufficient_sample,is_synthetic,train_start,train_end,validation_start,validation_end,purge_days,weight_fundamentals,weight_momentum,weight_flows,weight_factor_improvement
current_no_team,always_l_s,14,fold_1,eligible_base,92,-0.8718081571518225,-0.9992079496552915,0.5777463124987742,-0.6493037180105533,-0.6018978891140173,-0.9868912411756127,-1.0124803098515767,0.6413043478260869,0.4021739130434783,0.18500000000000003,19.00968118364375,-19.88148934079557,-0.09119322659049542,-1.7335541635931015,0.8617460064412791,3042.0449208120854,-1.6842292945637838,-0.08067351099941873,-0.4548999318671576,-0.6040773824507429,-0.40331439504854416,fold_1,Bullish,92,True,False,2024-05-01,2024-10-17,2024-11-01,2025-01-31,15,0.35000000000000003,0.6000000000000001,0.05,0.0
current_no_team,always_l_s,14,fold_1,eligible_base,0,,,,,,,,,,,,,,,,,,,,,,fold_1,Bearish,0,False,False,2024-05-01,2024-10-17,2024-11-01,2025-01-31,15,0.35000000000000003,0.6000000000000001,0.05,0.0
current_no_team,sticky_l_s,14,fold_1,eligible_base,92,-0.6216564455999788,-0.9659079973342252,0.46713074502507873,-0.33475543851415657,-0.39032437939307146,-0.962897055587235,-1.0031269612151361,0.6521739130434783,0.25,0.11500000000000002,19.00968118364375,-19.631337629243728,-0.10024665138916197,-1.9056568826358469,1.2840004370358682,3344.18367539956,-1.5512967019225268,-0.10968240909017492,-0.34318671237101855,-0.720248143900993,-0.37932020946016654,fold_1,Bullish,92,True,False,2024-05-01,2024-10-17,2024-11-01,2025-01-31,15,0.35000000000000003,0.6000000000000001,0.05,0.0
current_no_team,sticky_l_s,14,fold_1,eligible_base,0,,,,,,,,,,,,,,,,,,,,,,fold_1,Bearish,0,False,False,2024-05-01,2024-10-17,2024-11-01,2025-01-31,15,0.35000000000000003,0.6000000000000001,0.05,0.0
current_no_team,always_l_s,14,fold_1,eligible_sensitivity,92,-0.9460321202203245,-0.9999608563787284,0.5774276037556081,-1.0690870143342759,-1.01589732939822,-0.9889264301572085,-1.0111579849471368,0.6413043478260869,0.3608695652173913,0.16600000000000004,19.00968118364375,-19.955713303864073,-0.16572852369385493,-3.1504463984561313,2.2044142782358067,5529.226678229323,-1.9277857634446862,-0.14669161121417815,-0.5887333763028713,-0.5064442769794021,-0.40534958403014,fold_1,Bullish,92,True,False,2024-05-01,2024-10-17,2024-11-01,2025-01-31,15,0.35000000000000003,0.6000000000000001,0.05,0.0
current_no_team,always_l_s,14,fold_1,eligible_sensitivity,0,,,,,,,,,,,,,,,,,,,,,,fold_1,Bearish,0,False,False,2024-05-01,2024-10-17,2024-11-01,2025-01-31,15,0.35000000000000003,0.6000000000000001,0.05,0.0
current_no_team,sticky_l_s,14,fold_1,eligible_sensitivity,92,-0.9107740104532592,-0.9997752456497067,0.4322778642785807,-1.328566195937515,-1.5126899324038041,-0.9744835854408235,-1.0259539109603801,0.6086956521739131,0.2152173913043478,0.09900000000000003,19.00968118364375,-19.92045519409701,-0.17884790419476423,-3.39984163910533,2.4890676286520708,5967.009967902785,-2.101248211224081,-0.21145911808670134,-0.5480556381949971,-0.4721993271664865,-0.39090673931375497,fold_1,Bullish,92,True,False,2024-05-01,2024-10-17,2024-11-01,2025-01-31,15,0.35000000000000003,0.6000000000000001,0.05,0.0
current_no_team,sticky_l_s,14,fold_1,eligible_sensitivity,0,,,,,,,,,,,,,,,,,,,,,,fold_1,Bearish,0,False,False,2024-05-01,2024-10-17,2024-11-01,2025-01-31,15,0.35000000000000003,0.6000000000000001,0.05,0.0
equal_family,always_l_s,14,fold_1,eligible_base,92,-0.7049394596030178,-0.9856348511431886,0.47336479008146753,-0.45898937694728836,-0.4532019008983512,-0.9534899460627526,-1.0337128935791846,0.5543478260869565,0.65,0.29900000000000004,19.00968118364375,-19.714620643246768,0.04916254479230761,0.934564302678373,-1.6395037622813908,-1641.4999458209247,-1.7579756634924748,0.05308159480646233,-0.15910186097950738,-0.031498134823342294,-0.3699130999356841,fold_1,Bullish,92,True,False,2024-05-01,2024-10-17,2024-11-01,2025-01-31,15,0.35000000000000003,0.6000000000000001,0.05,0.0
equal_family,always_l_s,14,fold_1,eligible_base,0,,,,,,,,,,,,,,,,,,,,,,fold_1,Bearish,0,False,False,2024-05-01,2024-10-17,2024-11-01,2025-01-31,15,0.35000000000000003,0.6000000000000001,0.05,0.0
equal_family,sticky_l_s,14,fold_1,eligible_base,92,-0.6738648606284335,-0.9796540791043905,0.4774711728857393,-0.3888324491262255,-0.37792841765449997,-0.9516644120444049,-1.0294112784987484,0.5978260869565217,0.4978260869565217,0.22900000000000004,19.00968118364375,-19.683546044272184,0.012985201114174786,0.2468445332859583,-0.9207093939143918,-434.2853006565705,-1.6707855468116797,0.013899752985208746,-0.17439450269977783,-0.14418312849563725,-0.3680875659173364,fold_1,Bullish,92,True,False,2024-05-01,2024-10-17,2024-11-01,2025-01-31,15,0.35000000000000003,0.6000000000000001,0.05,0.0
equal_family,sticky_l_s,14,fold_1,eligible_base,0,,,,,,,,,,,,,,,,,,,,,,fold_1,Bearish,0,False,False,2024-05-01,2024-10-17,2024-11-01,2025-01-31,15,0.35000000000000003,0.6000000000000001,0.05,0.0
equal_family,always_l_s,14,fold_1,eligible_sensitivity,92,-0.906239157118009,-0.9997329756057427,0.5445713432793442,-0.8940576032564275,-0.8518517044321636,-0.9848021184472904,-1.0151612764420057,0.5978260869565217,0.5913043478260869,0.272,19.00968118364375,-19.915920340761758,0.10501086229249523,1.9962230129998515,-2.9024621701178606,-3505.127176457143,-2.0602056071580424,0.0985564380519609,-0.2924050117367012,0.1250312315248845,-0.40122527232022187,fold_1,Bullish,92,True,False,2024-05-01,2024-10-17,2024-11-01,2025-01-31,15,0.35000000000000003,0.6000000000000001,0.05,0.0
equal_family,always_l_s,14,fold_1,eligible_sensitivity,0,,,,,,,,,,,,,,,,,,,,,,fold_1,Bearish,0,False,False,2024-05-01,2024-10-17,2024-11-01,2025-01-31,15,0.35000000000000003,0.6000000000000001,0.05,0.0
equal_family,sticky_l_s,14,fold_1,eligible_sensitivity,92,-0.6021982778127807,-0.9594150465107842,0.4205062024347057,-0.3917921646908845,-0.4325976861346708,-0.9462954788862273,-1.0138641343188053,0.6086956521739131,0.42826086956521736,0.197,19.00968118364375,-19.61187946145653,0.07431224629517309,1.4126521101116518,-2.0148503879244326,-2480.6989005138644,-1.8023403079964024,0.09032199918788447,-0.11750625714582726,-0.01431349290114583,-0.36271863275915883,fold_1,Bullish,92,True,False,2024-05-01,2024-10-17,2024-11-01,2025-01-31,15,0.35000000000000003,0.6000000000000001,0.05,0.0
equal_family,sticky_l_s,14,fold_1,eligible_sensitivity,0,,,,,,,,,,,,,,,,,,,,,,fold_1,Bearish,0,False,False,2024-05-01,2024-10-17,2024-11-01,2025-01-31,15,0.35000000000000003,0.6000000000000001,0.05,0.0
heuristic,always_l_s,14,fold_1,eligible_base,92,-0.8138034238662196,-0.997100770841102,0.5498516884204327,-0.5463024290720868,-0.565642254998233,-0.9746580495172114,-1.0230262514478874,0.5869565217391305,0.6152173913043477,0.28300000000000003,19.00968118364375,-19.823484607509968,-0.07034225324759494,-1.3371838079759089,0.5233803841096892,2346.2669313505426,-1.646216681073278,-0.06538472044772317,-0.29826608667306614,-0.2824021278759303,-0.39108120339014285,fold_1,Bullish,92,True,False,2024-05-01,2024-10-17,2024-11-01,2025-01-31,15,0.35000000000000003,0.6000000000000001,0.05,0.0
heuristic,always_l_s,14,fold_1,eligible_base,0,,,,,,,,,,,,,,,,,,,,,,fold_1,Bearish,0,False,False,2024-05-01,2024-10-17,2024-11-01,2025-01-31,15,0.35000000000000003,0.6000000000000001,0.05,0.0
