model,variant,horizon,period,eligible_universe,n_rebalances,total_return,annualized_return,annualized_vol,sharpe,sortino,max_drawdown,calmar,hit_rate,avg_turnover,total_cost,btc_total_return,excess_return,beta,alpha,information_ratio,correlation,up_capture,down_capture,drawdown_vs_btc
current_no_team,always_l_s,7,Train,eligible_base,51,-0.0955553354766081,-0.0975886125898825,0.34461261349037076,-0.12842221620721953,-0.2026323969663871,-0.3266789300476486,-0.29872943619488546,0.47058823529411764,0.8901960784313725,0.227,0.5912546450163658,-0.6868099804929739,-0.23255894297453159,0.04378519702496883,-0.9670364495098887,-0.29516421256981384,-0.22979163849513348,-0.3151287997553879,-0.08684952877224528
current_no_team,sticky_l_s,7,Train,eligible_base,51,-0.11275261325241082,-0.11512797523922524,0.34960623586662865,-0.17841818379049532,-0.3120532906513713,-0.30848924822988855,-0.37319931213106977,0.47058823529411764,0.6823529411764707,0.17400000000000004,0.5912546450163658,-0.7040072582687766,-0.18390375380645624,-0.0033319120754117526,-1.0148503083761253,-0.23007702236939706,-0.2345276965024761,-0.30486215145326506,-0.06865984695448524
current_no_team,always_l_s,14,Train,eligible_base,25,0.16930979578945915,0.1771745276215484,0.4181271505379214,0.6109050813843251,0.5412472685588856,-0.37097035552205504,0.47759753571741925,0.68,1.1840000000000002,0.14800000000000002,0.4383175182240755,-0.26900772243461635,-0.21875286416647755,0.2779973440447908,-0.32042314152830825,-0.22327981838671768,-0.30051309898686335,-0.8730194923890138,-0.17178661692587682
current_no_team,sticky_l_s,14,Train,eligible_base,25,0.0021881081642316502,0.0022819911468607845,0.4199620181634288,0.22718247080029644,0.20305007130397368,-0.3926976927803353,0.00581106329070609,0.64,0.9199999999999998,0.11500000000000002,0.4383175182240755,-0.43612941005984385,-0.2138831214073155,0.10086035156215009,-0.5577307531025739,-0.21735547816027886,-0.3786611462789118,-0.773633343878893,-0.19351395418415707
current_no_team,always_l_s,30,Train,eligible_base,12,0.0820917800147205,0.08327816204624217,0.2964395289564468,0.4082959389983847,0.6543009612390546,-0.21891454236732688,0.3804140243296668,0.5833333333333334,1.25,0.07500000000000001,0.5873405303467063,-0.5052487503319858,-0.3838655657064549,0.3126608867054283,-0.6784331337636141,-0.5294911528532151,0.0373660853293167,-0.2566682222861853,-0.04422561573784367
current_no_team,sticky_l_s,30,Train,eligible_base,12,0.15881084495130748,0.16118552708837552,0.24771511325664838,0.7208303965759428,1.378557499751596,-0.15735979687458845,1.0243119925786133,0.5833333333333334,0.9833333333333334,0.059,0.5873405303467063,-0.4285296853953988,-0.36974218350600163,0.3821286828464521,-0.613584085231308,-0.6103264115389331,0.01933263060188461,-0.47386916124252343,0.017329129754894756
current_no_team,always_l_s,7,Train,eligible_sensitivity,51,-0.03279738759908235,-0.03351988680077611,0.33433919330137346,0.061398045940144974,0.10823909251874758,-0.25965559949750994,-0.1290936412141482,0.47058823529411764,0.7960784313725491,0.203,0.5912546450163658,-0.6240520326154482,-0.14395281636796176,0.05398979050694459,-0.9133781816765174,-0.18831924327128616,-0.15773515828373127,-0.26589809997623537,-0.019826198222106628
current_no_team,sticky_l_s,7,Train,eligible_sensitivity,51,0.002365037617094945,0.0024180996851879133,0.3263110689759399,0.16719094702153192,0.27151160196925206,-0.24714628814562445,0.00978408255018223,0.5098039215686274,0.5725490196078431,0.14600000000000002,0.5912546450163658,-0.5888896073992709,-0.17328986097682614,0.10776192134421916,-0.8501190357460966,-0.23227537606019474,-0.13492679748132802,-0.2634861999135679,-0.00731688687022114
current_no_team,always_l_s,14,Train,eligible_sensitivity,25,0.038987095071814304,0.04069152314772517,0.38212408541468046,0.30518608417878307,0.2950848103579357,-0.36960384812406555,0.11009496614890811,0.6,1.0,0.12500000000000003,0.4383175182240755,-0.3993304231522612,-0.24194338641079513,0.15220281112953227,-0.5380649525187452,-0.2702174764354035,-0.3226571107632276,-0.7101262180972404,-0.17042010952788733
current_no_team,sticky_l_s,14,Train,eligible_sensitivity,25,-0.03458804286344186,-0.03604335306647233,0.3771953241016231,0.10121172422713932,0.0969733577848659,-0.3705543836359517,-0.09726872669217386,0.56,0.76,0.095,0.4383175182240755,-0.47290556108751736,-0.21770063793803557,0.06429449410953234,-0.6669207336472358,-0.24631876154125376,-0.3600603264044486,-0.6598917349002231,-0.1713706450397735
