month,signal_date,entry_date,exit_date,model,variant,eligible_universe,horizon,regime,long_tokens,short_tokens,long_overlap_prev,short_overlap_prev,gross_return,cost,net_return,nav,btc_return,excess_return,turnover
2025-11,2025-11-30,2025-12-01,2025-12-15,learned_global,sticky_l_s,eligible_sensitivity,14,Bearish,"ADA, BTC, BNB, AVAX, BTT","GRASS, UNI, AERO, AAVE, PUMP",,,0.010993590054245463,0.005,0.005993590054245463,1.0059935900542454,0.0016928584367270627,0.0043007316175184005,1.0
2025-12,2025-12-31,2026-01-01,2026-01-15,learned_global,sticky_l_s,eligible_sensitivity,14,Bearish,"WBT, BTC, BNB, BTT, CRO","UNI, AAVE, 0G, HYPE, ENA",3.0,2.0,0.04543422277177979,0.004999999999999999,0.04043422277177979,1.0466701589814813,0.07615750913112085,-0.03572328635934106,0.9999999999999999
2026-01,2026-01-31,2026-02-01,2026-02-15,learned_global,sticky_l_s,eligible_sensitivity,14,Bearish,"BCH, WBT, TRX, BNB, BTC","UNI, AAVE, HYPE, ENA, JTO",3.0,4.0,0.005921516846683803,0.003,0.002921516846683803,1.049728023483867,-0.10570117195138107,0.10862268879806487,0.6
2026-02,2026-02-28,2026-03-01,2026-03-15,learned_global,sticky_l_s,eligible_sensitivity,14,Bearish,"WBT, CC, BNB, BTC, TRX","UNI, AAVE, HYPE, ENA, ATH",4.0,4.0,-0.006835699175229318,0.002,-0.008835699175229318,1.0404529424525555,0.10701045525854469,-0.11584615443377401,0.4
2026-03,2026-03-31,2026-04-01,2026-04-15,learned_global,sticky_l_s,eligible_sensitivity,14,Bearish,"WBT, BNB, CRO, TRX, RAIN","HYPE, ENA, ATH, ONDO, ADA",3.0,3.0,-0.01282758910802293,0.004,-0.016827589108022928,1.0229446278507304,0.09830692463449475,-0.11513451374251768,0.7999999999999999
2026-04,2026-04-20,2026-04-21,2026-05-05,learned_global,sticky_l_s,eligible_sensitivity,14,Bearish,"TRX, WBT, CC, BNB, ADA","HYPE, ENA, ARB, AAVE, UNI",3.0,2.0,0.006166051096595036,0.005,0.0011660510965950362,1.0241374335557916,0.0598585336043278,-0.05869248250773276,1.0
