weight_fundamentals,weight_momentum,weight_flows,weight_factor_improvement,mean_ic,spread,total_return,max_drawdown,sharpe,turnover,pre_z_mean_ic,pre_score,objective
0.55,0.45,0.0,0.0,0.14497165088544153,0.0929954289627694,0.149320133051005,-0.34829270186868677,0.5655310968420455,1.2560000000000002,1.3983210472016703,1.3983210472016703,1.9516540134147324
0.35000000000000003,0.45,0.2,0.0,0.14575121602893484,0.10204165622140891,0.12343458873158308,-0.36469846394824146,0.5116818371059871,1.3600000000000003,1.429263337586298,1.429263337586298,1.881168361617547
0.45,0.45,0.1,0.0,0.14535133128064678,0.1114249472768019,0.02922978174687385,-0.43520205320392813,0.3154715552915796,1.28,1.4133912195148477,1.4133912195148477,1.425107550098992
0.4,0.45,0.15000000000000002,0.0,0.1464048704827704,0.10304080023323697,0.033310950965008246,-0.43520205320392813,0.32535768573382123,1.3200000000000003,1.4552080146804436,1.4552080146804436,1.2743737970652889
0.30000000000000004,0.6000000000000001,0.1,0.0,0.14982399835463445,0.09008292307883163,0.05741856254863831,-0.40821289510582837,0.36920820460712567,1.3360000000000003,1.5909191202325863,1.5909191202325863,1.2654781813328984
0.45,0.45,0.05,0.05,0.14565244966591995,0.09438654134745529,0.01721821037451332,-0.3470368375163194,0.25777861802869634,1.4160000000000001,1.4253431296214498,1.4253431296214498,1.2147796445040575
0.5,0.5,0.0,0.0,0.14649532127842504,0.10218191493227309,0.013970710197934721,-0.43520205320392813,0.2832827170087013,1.2960000000000003,1.4587981633781202,1.4587981633781202,1.1816772041321648
0.35000000000000003,0.5,0.15000000000000002,0.0,0.14807887319677593,0.10367066917470952,0.007751482848757707,-0.43520205320392813,0.26591512849197424,1.328,1.5216520809829779,1.5216520809829779,1.1755381294337388
0.45,0.5,0.05,0.0,0.1480202564083316,0.09677583224006632,0.005045685363812558,-0.43520205320392813,0.2594859956830124,1.2800000000000002,1.5193254791529742,1.5193254791529742,1.065104057819992
0.35000000000000003,0.6000000000000001,0.05,0.0,0.1505500543665495,0.0827417962228759,0.04224431408630003,-0.40821289510582837,0.3353230505121001,1.3440000000000003,1.619737540532279,1.619737540532279,1.0566149040530506
0.30000000000000004,0.55,0.15000000000000002,0.0,0.14978401141749012,0.0878126421405504,0.023551680860926627,-0.4082128951058285,0.2933257838298683,1.36,1.5893319694588008,1.5893319694588008,1.0375248293839487
0.25,0.6000000000000001,0.15000000000000002,0.0,0.15019842611433723,0.09140815160570422,0.007930783662280838,-0.40902042476547285,0.2565444670309601,1.368,1.605780806347582,1.605780806347582,1.0239406196229324
0.5,0.45,0.05,0.0,0.14476017673289301,0.09268950552456044,0.004772053964497314,-0.41092163933404147,0.24823920243647885,1.2640000000000002,1.3899272719134663,1.3899272719134663,1.0232169064282735
0.35000000000000003,0.55,0.1,0.0,0.14878192855154332,0.08749025782249044,0.021792492916262507,-0.43520205320392813,0.2988616147795391,1.3120000000000003,1.5495575653741829,1.5495575653741829,0.9625970054425048
0.4,0.5,0.1,0.0,0.1478019688229276,0.09920517863855761,-0.031734122463654146,-0.43520205320392813,0.177415056096129,1.2960000000000003,1.5106612669170816,1.5106612669170816,0.9146886835072956
0.30000000000000004,0.45,0.25,0.0,0.14549750157406613,0.10065432724206981,-0.036494720756471866,-0.4223351999732231,0.15726670471152288,1.3600000000000003,1.419192971558712,1.419192971558712,0.8753729697814897
0.30000000000000004,0.5,0.2,0.0,0.147288528744012,0.09793326395649098,-0.03578479599459328,-0.4223351999732232,0.16041837788877894,1.3760000000000003,1.490281941148716,1.490281941148716,0.8424717788170587
0.4,0.55,0.05,0.0,0.14917111674829284,0.08385041680664278,0.0032144365420272436,-0.43520205320392813,0.257672489168759,1.3040000000000003,1.565005118793683,1.565005118793683,0.813478015677511
0.35000000000000003,0.5,0.05,0.1,0.14616223732522918,0.10939890901535199,-0.08339707319253398,-0.3986801514407178,0.03265692638895837,1.4960000000000002,1.4455774845313694,1.4455774845313694,0.7821679161288607
0.30000000000000004,0.45,0.2,0.05,0.1447044237604924,0.09968748103894565,-0.061563166803361935,-0.41198164966723416,0.09662879567012071,1.4640000000000004,1.3877143399010166,1.3877143399010166,0.6786000263036218
0.25,0.55,0.1,0.1,0.14858588746708565,0.1176366803660086,-0.10180397465261048,-0.4769179689993708,0.016363515083779676,1.4880000000000002,1.5417763552813042,1.5417763552813042,0.6511212276431144
0.25,0.5,0.25,0.0,0.14630144380522714,0.10363091505175785,-0.091067072691144,-0.4291161331848523,0.022357409996255847,1.3840000000000001,1.4511028307624965,1.4511028307624965,0.6232039278557494
0.4,0.6000000000000001,0.0,0.0,0.14986945859819997,0.08038969883913454,-0.018073758699682863,-0.43520205320392813,0.2113057714372827,1.352,1.592723516015416,1.592723516015416,0.619750379950621
0.25,0.6000000000000001,0.1,0.05,0.14975538112394624,0.08941557461951015,-0.04792711011905515,-0.4392776471935165,0.14149819712610362,1.4240000000000004,1.5881955835338706,1.5881955835338706,0.5738493784492613
0.45,0.55,0.0,0.0,0.1495318306940525,0.09102203556807074,-0.06901582042334264,-0.435202053203928,0.08589748056047204,1.328,1.5793224798874141,1.5793224798874141,0.5709654193889822
0.25,0.55,0.2,0.0,0.14848099834539655,0.08956511078921729,-0.06418105266575669,-0.4231234588850791,0.09124467244882047,1.368,1.5376131244229447,1.5376131244229447,0.5594615832190891
0.25,0.5,0.15000000000000002,0.1,0.14474087797663596,0.12424009740896601,-0.1369662614148156,-0.46824237424892945,-0.09970559990137365,1.5040000000000004,1.3891612708612744,1.3891612708612744,0.534835722873975
0.30000000000000004,0.6000000000000001,0.0,0.1,0.1493087606536003,0.1088337281854002,-0.10899682173428793,-0.46134539037384326,0.005863034353906201,1.4720000000000002,1.5704684437297014,1.5704684437297014,0.5262517782881502
0.25,0.6000000000000001,0.05,0.1,0.14965776451355722,0.10867090758231605,-0.11157952266475779,-0.4686890220129363,-0.00935531482600818,1.4640000000000004,1.5843210112415733,1.5843210112415733,0.4894103400913496
0.30000000000000004,0.6000000000000001,0.05,0.05,0.15040804188565993,0.08692644122339867,-0.06552985278245338,-0.4392776471935166,0.11154972160875479,1.4320000000000002,1.6141008192670927,1.6141008192670927,0.45088230807576574
0.2,0.6000000000000001,0.15000000000000002,0.05,0.14806671175609096,0.10128130773819514,-0.11039897168974311,-0.4392776471935165,-0.007711876331997271,1.4480000000000004,1.5211693723443085,1.5211693723443085,0.44015191846704005
0.4,0.5,0.0,0.1,0.14587544570767072,0.09280453214523215,-0.09231219077858699,-0.4066415307055036,0.014486245657778908,1.4800000000000002,1.4341942286425726,1.4341942286425726,0.4083814196798325
0.30000000000000004,0.5,0.1,0.1,0.1457183216508666,0.1208026137585051,-0.1632355908404738,-0.45900636636854864,-0.12789706674986012,1.5040000000000004,1.4279577027632113,1.4279577027632113,0.4083782428178747
0.35000000000000003,0.55,0.05,0.05,0.14807076965336072,0.08172705187568384,-0.06282005846113037,-0.4392776471935165,0.11758870259523087,1.4320000000000002,1.5213304373133105,1.5213304373133105,0.3338804170904365
0.2,0.6000000000000001,0.1,0.1,0.1479700266423987,0.10215271444364137,-0.10163527145820184,-0.4857556713491341,0.021580086691061647,1.48,1.5173317727688183,1.5173317727688183,0.3325917846011551
0.30000000000000004,0.55,0.1,0.05,0.1494008203191369,0.08622029753565193,-0.08100544715827651,-0.4392776471935165,0.07119582954152778,1.4560000000000002,1.5741224512587972,1.5741224512587972,0.3254288409751328
0.30000000000000004,0.55,0.05,0.1,0.14766819590264338,0.10622336318961396,-0.1394057992661082,-0.4555184717069619,-0.06571991979345819,1.4880000000000002,1.5053515880793573,1.5053515880793573,0.30860693689196067
0.4,0.45,0.1,0.05,0.1454378154107733,0.09844003846709427,-0.11540265571468766,-0.45833053358340403,0.006667515569340877,1.4560000000000002,1.4168239243893181,1.4168239243893181,0.27834556141463607
0.2,0.5,0.30000000000000004,0.0,0.14500029281258844,0.10647264133577237,-0.13918162187967587,-0.45468402878262637,-0.15282077798020172,1.3920000000000001,1.3994578948844485,1.3994578948844485,0.2772961981466382
0.15000000000000002,0.6000000000000001,0.2,0.05,0.14603058776188013,0.09338405986509674,-0.0921075811573353,-0.4608918501894801,0.00680389013057221,1.4480000000000002,1.4403520854070555,1.4403520854070555,0.26205202427871643
0.15000000000000002,0.55,0.30000000000000004,0.0,0.14523789462911585,0.08217591470816192,-0.07044017163435634,-0.4305119119843406,0.028080153726488897,1.4,1.4088887223967732,1.4088887223967732,0.25799116295622676
0.2,0.55,0.15000000000000002,0.1,0.14610632973831703,0.09780294608775363,-0.1056289395464376,-0.46767113393995285,-0.0063408470190535835,1.4880000000000002,1.4433584156012378,1.4433584156012378,0.24288436439353506
0.15000000000000002,0.6000000000000001,0.25,0.0,0.1470211239336843,0.09012043963787131,-0.1075818187078843,-0.431204674466788,-0.07804670943280294,1.4,1.4796681812077204,1.4796681812077204,0.2277761491879033
0.35000000000000003,0.6000000000000001,0.0,0.05,0.14967020645945409,0.07843385464599541,-0.07691882907922432,-0.4392776471935165,0.08158521180499091,1.4320000000000004,1.5848148536178055,1.5848148536178055,0.22071560553306024
0.35000000000000003,0.55,0.0,0.1,0.14775597093692924,0.1075675970077078,-0.1684226952062896,-0.4655569941726372,-0.13597861511683212,1.472,1.5088355311751498,1.5088355311751498,0.1659061862229974
0.25,0.6000000000000001,0.0,0.15000000000000002,0.14595784841871054,0.12296202706872679,-0.18571617199993928,-0.4954772157708295,-0.21682530756294166,1.5440000000000003,1.4374649349263977,1.4374649349263977,0.16308446000282545
0.2,0.55,0.25,0.0,0.14748904574194413,0.10126853241299423,-0.15386644105340097,-0.4785144975751716,-0.15879870749825037,1.3760000000000003,1.4982408079975689,1.4982408079975689,0.09665013057335904
0.2,0.6000000000000001,0.2,0.0,0.14933424011008353,0.09392610946620313,-0.13564936694386365,-0.4785144975751717,-0.10255022439532704,1.3840000000000003,1.5714797674759298,1.5714797674759298,0.08097997050719359
0.25,0.45,0.30000000000000004,0.0,0.14470487642525195,0.10157920127483035,-0.14911559427892251,-0.4852047193543604,-0.14533082037920267,1.3840000000000001,1.3877323069491256,1.3877323069491256,0.06220427002575678
0.4,0.55,0.0,0.05,0.14838302685975377,0.08937372343763678,-0.14570793415861105,-0.46610213851814375,-0.050269645816249514,1.4320000000000004,1.5337244665173488,1.5337244665173488,-0.0010107136977228967
0.35000000000000003,0.45,0.15000000000000002,0.05,0.14552259192045558,0.09110190193450375,-0.14587888273548977,-0.45833053358340403,-0.06340919032012406,1.4560000000000002,1.4201888508515628,1.4201888508515628,-0.011013494677313579
0.25,0.5,0.2,0.05,0.14635564431610676,0.10057471426147384,-0.17423774899162192,-0.46787011812761015,-0.18522952864705325,1.4720000000000002,1.4532541428890458,1.4532541428890458,-0.05076130508188609
0.15000000000000002,0.6000000000000001,0.15000000000000002,0.1,0.14568587796115387,0.08697706094999781,-0.1147646252130593,-0.4755667663400235,-0.029141186194117878,1.504,1.4266699565413352,1.4266699565413352,-0.05094746804125884
